text,id,created_at,context_annotations
"RT @veefriendsbot: When You Live For Their... was purchased for 17.4900 $ETH ($51,688.9 USD) by https://t.co/obAlSBcIhu from https://t.co/y…",1506029793271238656,2022-03-21T22:07:38.000Z,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1007361429752594432', 'name': 'Ethereum cryptocurrency', 'description': 'Ethereum Cryptocurrency'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '913142676819648512', 'name': 'Cryptocurrencies', 'description': 'Cryptocurrency'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '1492162686204854274', 'name': 'Digital assets & cryptocurrency', 'description': 'Cryptocurrency'}}]"
"RT @bennidaytime: A lot of people pointing out the @veefriends toys on the shelf in @garyvee’s podcast room. 

Firstly, they’re not officia…",1505993368979058698,2022-03-21T19:42:53.000Z,
"RT @CryptoCoug: 59 sleeps till @veecon 
15 sleeps till @veefriends v2 WL 
👀 
#VeeFriends #veecon #NFTs #NFTCommunity #nftcollectors",1505983303697977347,2022-03-21T19:02:54.000Z,"[{'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '913142676819648512', 'name': 'Cryptocurrencies', 'description': 'Cryptocurrency'}}]"
"Made it through #MarchMadness opening weekend with a perfect bracket. Kindness always wins, even in the madness  #KindKudu https://t.co/awq6N08tgE",1505946430099410949,2022-03-21T16:36:22.000Z,"[{'domain': {'id': '3', 'name': 'TV Shows', 'description': 'Television shows from around the world'}, 'entity': {'id': '10000583723', 'name': 'College Basketball', 'description': ""Men's college basketball action.""}}, {'domain': {'id': '6', 'name': 'Sports Event'}, 'entity': {'id': '1486129289418330116', 'name': ""2022 Men's March Madness Tournament""}}, {'domain': {'id': '11', 'name': 'Sport', 'description': 'Types of sports, like soccer and basketball'}, 'entity': {'id': '706083902411055104', 'name': 'Basketball'}}, {'domain': {'id': '26', 'name': 'Sports League', 'description': ''}, 'entity': {'id': '706095585175035904', 'name': ""NCAA Men's Basketball""}}, {'domain': {'id': '40', 'name': 'Sports Series', 'description': 'A grouping of sports events or series, for example 2014 pre-season, a tournament, or round'}, 'entity': {'id': '1486129289418330116', 'name': ""2022 Men's March Madness Tournament""}}]"
RT @itsdaveynft: #NewNFTProfilePic NFT by @garyvee and @DrifterShoots. Gotta rep this 🔥🔥🔥 https://t.co/PNgAW1reTM,1505945939344822277,2022-03-21T16:34:25.000Z,"[{'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974596752842752', 'name': 'Services'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10045225402', 'name': 'Twitter'}}, {'domain': {'id': '48', 'name': 'Product', 'description': 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.'}, 'entity': {'id': '1499438154234798100', 'name': 'Twitter NFT Profile Pic'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '913142676819648512', 'name': 'Cryptocurrencies', 'description': 'Cryptocurrency'}}]"
"Courtside Cat last night, and now Jam Session Snail today! So exciting seeing these 1 of 1 VeeFriends Access tokens coming to life and displaying how NFTs can create real-world value https://t.co/0no9sh6JsC",1505908885978333186,2022-03-21T14:07:11.000Z,"[{'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '913142676819648512', 'name': 'Cryptocurrencies', 'description': 'Cryptocurrency'}}]"
"2/2
We love seeing these VeeFriends Access experiences in action, all powered by the amazing technology of NFTs https://t.co/HETpi2Usvq",1505907059165995013,2022-03-21T13:59:55.000Z,"[{'domain': {'id': '3', 'name': 'TV Shows', 'description': 'Television shows from around the world'}, 'entity': {'id': '10000607734', 'name': 'NBA Basketball', 'description': 'All the latest basketball action from the NBA.'}}, {'domain': {'id': '3', 'name': 'TV Shows', 'description': 'Television shows from around the world'}, 'entity': {'id': '10029190505', 'name': 'Live: NBA Basketball', 'description': 'Live coverage from the National Basketball Association, the top basketball league in North America.'}}, {'domain': {'id': '3', 'name': 'TV Shows', 'description': 'Television shows from around the world'}, 'entity': {'id': '10029304530', 'name': 'NBA Basketball'}}, {'domain': {'id': '6', 'name': 'Sports Event'}, 'entity': {'id': '1450121135094259721', 'name': 'Jazz at Knicks'}}, {'domain': {'id': '11', 'name': 'Sport', 'description': 'Types of sports, like soccer and basketball'}, 'entity': {'id': '706083902411055104', 'name': 'Basketball'}}, {'domain': {'id': '12', 'name': 'Sports Team', 'description': 'A sports team organization, like Arsenal and the Boston Celtics'}, 'entity': {'id': '706083892525010946', 'name': 'New York Knicks'}}, {'domain': {'id': '26', 'name': 'Sports League', 'description': ''}, 'entity': {'id': '706083889454813185', 'name': 'NBA'}}, {'domain': {'id': '39', 'name': 'Basketball Game', 'description': 'Sports Event specific to Basketball games'}, 'entity': {'id': '1450121135094259721', 'name': 'Jazz at Knicks'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '913142676819648512', 'name': 'Cryptocurrencies', 'description': 'Cryptocurrency'}}]"
"1/2
The Courtside Cat is a 1 of 1 Access token, which allows the holder to sit courtside at a @nyknicks game with @garyvee once a year for 3 years. @VoiceverseNFT purchased the token less than a month ago, allowing them to claim the access experience https://t.co/lXONvNJqH9",1505907057626656775,2022-03-21T13:59:55.000Z,"[{'domain': {'id': '3', 'name': 'TV Shows', 'description': 'Television shows from around the world'}, 'entity': {'id': '10000607734', 'name': 'NBA Basketball', 'description': 'All the latest basketball action from the NBA.'}}, {'domain': {'id': '3', 'name': 'TV Shows', 'description': 'Television shows from around the world'}, 'entity': {'id': '10029190505', 'name': 'Live: NBA Basketball', 'description': 'Live coverage from the National Basketball Association, the top basketball league in North America.'}}, {'domain': {'id': '3', 'name': 'TV Shows', 'description': 'Television shows from around the world'}, 'entity': {'id': '10029304530', 'name': 'NBA Basketball'}}, {'domain': {'id': '6', 'name': 'Sports Event'}, 'entity': {'id': '1450121135094259721', 'name': 'Jazz at Knicks'}}, {'domain': {'id': '11', 'name': 'Sport', 'description': 'Types of sports, like soccer and basketball'}, 'entity': {'id': '706083902411055104', 'name': 'Basketball'}}, {'domain': {'id': '12', 'name': 'Sports Team', 'description': 'A sports team organization, like Arsenal and the Boston Celtics'}, 'entity': {'id': '706083892525010946', 'name': 'New York Knicks'}}, {'domain': {'id': '26', 'name': 'Sports League', 'description': ''}, 'entity': {'id': '706083889454813185', 'name': 'NBA'}}, {'domain': {'id': '39', 'name': 'Basketball Game', 'description': 'Sports Event specific to Basketball games'}, 'entity': {'id': '1450121135094259721', 'name': 'Jazz at Knicks'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1007361429752594432', 'name': 'Ethereum cryptocurrency', 'description': 'Ethereum Cryptocurrency'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '913142676819648512', 'name': 'Cryptocurrencies', 'description': 'Cryptocurrency'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '1492162686204854274', 'name': 'Digital assets & cryptocurrency', 'description': 'Cryptocurrency'}}]"
"Last night, the first-ever Courtside Cat Access redemption went down! What is the Courtside Cat and why is it an awesome Access token? Let's find out 🏀 https://t.co/IxAvP7Lm80",1505907054350942214,2022-03-21T13:59:54.000Z,
Eyes forward #RationalRattlesnake https://t.co/rpkNZhkdce,1505899370088181761,2022-03-21T13:29:22.000Z,
